id,sentence,annotator1_entities,annotator2_entities,notes
227,కొల్లం కేరళ లో ఒక ముఖ్యమైన నౌకాశ్రయ నగరం,"కొల్లం=LOC, కేరళ=LOC","కొల్లం=LOC, కేరళ=LOC",Two LOC entities
228,సునీల్ గావస్కర్ ముంబై కు చెందిన మహా క్రికెటర్,"సునీల్ గావస్కర్=PER, ముంబై=LOC","సునీల్ గావస్కర్=PER, ముంబై=LOC",Clear PER and LOC
229,ఆర్ఐఎల్ జామ్నగర్ లో ప్రపంచంలోనే అతిపెద్ద రిఫైనరీ నిర్వహిస్తుంది,"ఆర్ఐఎల్=ORG, జామ్నగర్=LOC","ఆర్ఐఎల్=ORG, జామ్నగర్=LOC",Abbreviation as ORG
230,ప్రొఫెసర్ యశ్పాల్ ఐఐటీ ముంబై చాన్సలర్ గా పనిచేశారు,"యశ్పాల్=PER, ఐఐటీ ముంబై=ORG","యశ్పాల్=PER, ఐఐటీ ముంబై=ORG",Clear PER and ORG
231,తెలంగాణ రాష్ట్ర సమితి పార్టీ తెలంగాణ లో స్థాపించబడింది,"తెలంగాణ రాష్ట్ర సమితి=ORG, తెలంగాణ=LOC","తెలంగాణ రాష్ట్ర సమితి=ORG, తెలంగాణ=LOC",Clear ORG and LOC
232,రాహుల్ ద్రావిడ్ భారత క్రికెట్ జట్టు కోచ్,"రాహుల్ ద్రావిడ్=PER, భారత క్రికెట్ జట్టు=ORG","రాహుల్ ద్రావిడ్=PER, భారత క్రికెట్ జట్టు=ORG",Clear PER and ORG
233,కాళేశ్వరం ప్రాజెక్ట్ తెలంగాణలో నీటిపారుదల ప్రాజెక్ట్,"కాళేశ్వరం ప్రాజెక్ట్=ORG, తెలంగాణ=LOC","కాళేశ్వరం=LOC, తెలంగాణ=LOC",Disagreement: as ORG or LOC
234,ఓమ్ ప్రకాష్ చౌటాలా హరియాణా మాజీ ముఖ్యమంత్రి,"ఓమ్ ప్రకాష్ చౌటాలా=PER, హరియాణా=LOC","ఓమ్ ప్రకాష్ చౌటాలా=PER, హరియాణా=LOC",Clear PER and LOC
235,సీమెన్స్ సంస్థ ముంబై మరియు పుణె లో కార్యాలయాలు కలిగి ఉంది,"సీమెన్స్=ORG, ముంబై=LOC, పుణె=LOC","సీమెన్స్=ORG, ముంబై=LOC, పుణె=LOC",ORG with two LOC
236,గగన్ నారంగ్ షూటింగ్ లో ఒలింపిక్ పతకం గెలిచారు,గగన్ నారంగ్=PER,గగన్ నారంగ్=PER,Only PER
237,మాధవరావు సింధియా కాంగ్రెస్ పార్టీ నాయకుడు,"మాధవరావు సింధియా=PER, కాంగ్రెస్ పార్టీ=ORG","మాధవరావు సింధియా=PER, కాంగ్రెస్ పార్టీ=ORG",Clear PER and ORG
238,వాల్మార్ట్ సంస్థ భారతదేశంలో ఫ్లిప్కార్ట్ ను కొనుగోలు చేసింది,"వాల్మార్ట్=ORG, ఫ్లిప్కార్ట్=ORG","వాల్మార్ట్=ORG, ఫ్లిప్కార్ట్=ORG",Two ORG entities
239,సిఎస్ఆర్ ఫౌండేషన్ హైదరాబాద్ లో విద్యా కార్యక్రమాలు నిర్వహిస్తుంది,"సిఎస్ఆర్ ఫౌండేషన్=ORG, హైదరాబాద్=LOC","సిఎస్ఆర్ ఫౌండేషన్=ORG, హైదరాబాద్=LOC",Clear ORG and LOC
240,నెల్లూరు ఆంధ్రప్రదేశ్ లో చేపల పరిశ్రమకు ప్రసిద్ధి,"నెల్లూరు=LOC, ఆంధ్రప్రదేశ్=LOC","నెల్లూరు=LOC, ఆంధ్రప్రదేశ్=LOC",Two LOC entities
241,జాన్ మఠాయి టాటా సంస్థకు ఆర్థిక సలహాదారుగా పనిచేశారు,"జాన్ మఠాయి=PER, టాటా=ORG","జాన్ మఠాయి=PER, టాటా=ORG",Clear PER and ORG
242,మైసూరు కర్ణాటకలో చారిత్రక నగరం,"మైసూరు=LOC, కర్ణాటక=LOC","మైసూరు=LOC, కర్ణాటక=LOC",Two LOC entities
243,నిర్మలా సీతారామన్ కేంద్ర ఆర్థిక మంత్రి,నిర్మలా సీతారామన్=PER,నిర్మలా సీతారామన్=PER,"Only PER, ministry not labeled"
244,కొచ్చి రిఫైనరీస్ కేరళ లో పెట్రోలియం ఉత్పత్తి చేస్తుంది,"కొచ్చి రిఫైనరీస్=ORG, కేరళ=LOC","కొచ్చి రిఫైనరీస్=ORG, కేరళ=LOC",Clear ORG and LOC
245,ప్రవీణ్ తొగాడియా విహెచ్పీ నాయకుడు,"ప్రవీణ్ తొగాడియా=PER, విహెచ్పీ=ORG","ప్రవీణ్ తొగాడియా=PER, విహెచ్పీ=ORG",Clear PER and ORG
246,తిరువనంతపురం కేరళ రాజధాని,"తిరువనంతపురం=LOC, కేరళ=LOC","తిరువనంతపురం=LOC, కేరళ=LOC",Two LOC entities
247,కల్పనా చావ్లా కర్నాల్ లో జన్మించారు,"కల్పనా చావ్లా=PER, కర్నాల్=LOC","కల్పనా చావ్లా=PER, కర్నాల్=LOC",Clear PER and LOC
248,జీఈ ఎవియేషన్ సంస్థ పుణె లో ఇంజిన్లు తయారు చేస్తుంది,"జీఈ ఎవియేషన్=ORG, పుణె=LOC","జీఈ ఎవియేషన్=ORG, పుణె=LOC",Clear ORG and LOC
249,అరవింద్ సుబ్రమణియన్ భారత ప్రధాన ఆర్థిక సలహాదారు,"అరవింద్ సుబ్రమణియన్=PER, భారత=LOC",అరవింద్ సుబ్రమణియన్=PER,Disagreement: భారత as LOC or not
250,తిరుపతి ఆంధ్రప్రదేశ్ లో ప్రసిద్ధ పుణ్యక్షేత్రం,"తిరుపతి=LOC, ఆంధ్రప్రదేశ్=LOC","తిరుపతి=LOC, ఆంధ్రప్రదేశ్=LOC",Two LOC entities
